,d=1,d=2,d=3,d=4,d=5
d=1,0.0,-0.375,-0.226851851851852,-0.050797325102881,0.096557784636488
d=2,0.375,0.0,-0.198816872427984,-0.116405178326475,0.013642403978052
d=3,0.226851851851852,0.198816872427984,-0.0,-0.100272919524463,-0.04524843773815
d=4,0.050797325102881,0.116405178326475,0.100272919524463,0.0,-0.044774619119291
d=5,-0.096557784636488,-0.013642403978052,0.04524843773815,0.044774619119291,-0.0
